comuna,pacto,partido
VILLA ALEMANA,INDEPENDIENTES,INDEPENDIENTES
VILLARRICA,INDEPENDIENTES,INDEPENDIENTES
VITACURA,CHILE VAMOS,EVOLUCION POLITICA
VIÑA DEL MAR,FRENTE AMPLIO,REVOLUCION DEMOCRATICA
YERBAS BUENAS,UNIDOS POR LA DIGNIDAD,INDEPENDIENTES-LISTA XU
YUMBEL,INDEPENDIENTES,INDEPENDIENTES
YUNGAY,UNIDAD POR EL APRUEBO,PARTIDO SOCIALISTA DE CHILE
ZAPALLAR,CHILE VAMOS,INDEPENDIENTES-LISTA XX
ÑIQUEN,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE
ÑUÑOA,FRENTE AMPLIO,REVOLUCION DEMOCRATICA
